Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
22120,456,9/15/2013 12:11,Embarcadero at Sansome,60,9/15/2013 12:19,Mechanics Plaza (Market at Battery),75,585,Subscriber,94103
22121,731,9/15/2013 12:14,Civic Center BART (7th at Market),72,9/15/2013 12:26,2nd at Folsom,62,309,Subscriber,94102
22122,1164,9/15/2013 12:14,Grant Avenue at Columbus Avenue,73,9/15/2013 12:33,Powell at Post (Union Square),71,621,Subscriber,94115
22123,9023,9/15/2013 12:16,Howard at 2nd,63,9/15/2013 14:47,Howard at 2nd,63,381,Customer,94105
22124,8993,9/15/2013 12:17,Howard at 2nd,63,9/15/2013 14:47,Howard at 2nd,63,511,Customer,94105
22125,20590,9/15/2013 12:18,Embarcadero at Bryant,54,9/15/2013 18:01,Embarcadero at Bryant,54,546,Customer,94105
22126,123,9/15/2013 12:19,Mechanics Plaza (Market at Battery),75,9/15/2013 12:21,Mechanics Plaza (Market at Battery),75,501,Subscriber,94103
22127,1464,9/15/2013 12:19,Steuart at Market,74,9/15/2013 12:44,Grant Avenue at Columbus Avenue,73,634,Subscriber,94703
22128,883,9/15/2013 12:20,Grant Avenue at Columbus Avenue,73,9/15/2013 12:35,Embarcadero at Vallejo,48,372,Customer,3510
22129,682,9/15/2013 12:21,Mechanics Plaza (Market at Battery),75,9/15/2013 12:32,Market at 10th,67,428,Subscriber,94103
22130,8029,9/15/2013 12:21,Powell at Post (Union Square),71,9/15/2013 14:35,Spear at Folsom,49,292,Customer,
22131,7978,9/15/2013 12:22,Powell at Post (Union Square),71,9/15/2013 14:35,Spear at Folsom,49,584,Customer,
22132,407,9/15/2013 12:22,St James Park,13,9/15/2013 12:29,San Pedro Square,6,649,Customer,95112
22133,869,9/15/2013 12:24,Grant Avenue at Columbus Avenue,73,9/15/2013 12:38,Market at Sansome,77,530,Customer,94133
22134,6073,9/15/2013 12:25,Harry Bridges Plaza (Ferry Building),50,9/15/2013 14:06,Embarcadero at Sansome,60,486,Customer,94104
22135,1058,9/15/2013 12:26,Harry Bridges Plaza (Ferry Building),50,9/15/2013 12:43,Market at Sansome,77,587,Subscriber,94109
22136,401,9/15/2013 12:26,Market at 4th,76,9/15/2013 12:33,San Francisco Caltrain 2 (330 Townsend),69,589,Subscriber,94107
22137,1728,9/15/2013 12:27,Embarcadero at Bryant,54,9/15/2013 12:56,San Francisco Caltrain (Townsend at 4th),70,480,Customer,94107
22138,1358,9/15/2013 12:26,2nd at Townsend,61,9/15/2013 12:48,Davis at Jackson,42,373,Subscriber,94107
22139,1509,9/15/2013 12:28,Embarcadero at Folsom,51,9/15/2013 12:53,Davis at Jackson,42,464,Customer,94114
22140,162,9/15/2013 12:28,2nd at South Park,64,9/15/2013 12:31,Howard at 2nd,63,566,Subscriber,94103
22141,1508,9/15/2013 12:28,Embarcadero at Folsom,51,9/15/2013 12:53,Davis at Jackson,42,283,Customer,94114
22142,556,9/15/2013 12:28,San Francisco Caltrain (Townsend at 4th),70,9/15/2013 12:38,Powell Street BART,39,395,Subscriber,94107
22143,1013,9/15/2013 12:30,Grant Avenue at Columbus Avenue,73,9/15/2013 12:47,Embarcadero at Vallejo,48,407,Subscriber,94111
22144,5773,9/15/2013 12:30,Harry Bridges Plaza (Ferry Building),50,9/15/2013 14:07,Embarcadero at Sansome,60,315,Customer,94577
22145,1524,9/15/2013 12:31,Embarcadero at Bryant,54,9/15/2013 12:56,San Francisco Caltrain (Townsend at 4th),70,572,Customer,94107
22146,1298,9/15/2013 12:32,2nd at Townsend,61,9/15/2013 12:54,Davis at Jackson,42,598,Customer,
22148,592,9/15/2013 12:36,Embarcadero at Bryant,54,9/15/2013 12:46,Davis at Jackson,42,581,Subscriber,94107
22150,155,9/15/2013 12:38,Powell Street BART,39,9/15/2013 12:41,Powell Street BART,39,395,Subscriber,94107
22151,497,9/15/2013 12:39,Clay at Battery,41,9/15/2013 12:47,Embarcadero at Bryant,54,625,Subscriber,94107
22153,923,9/15/2013 12:39,Embarcadero at Vallejo,48,9/15/2013 12:54,Embarcadero at Bryant,54,575,Customer,95219
22154,931,9/15/2013 12:40,Yerba Buena Center of the Arts (3rd @ Howard),68,9/15/2013 12:55,Embarcadero at Vallejo,48,437,Subscriber,94133
22155,2020,9/15/2013 12:40,Palo Alto Caltrain Station,34,9/15/2013 13:14,University and Emerson,35,83,Customer,
22156,785,9/15/2013 12:41,Embarcadero at Vallejo,48,9/15/2013 12:54,Embarcadero at Bryant,54,347,Customer,10029
22157,697,9/15/2013 12:43,Embarcadero at Vallejo,48,9/15/2013 12:55,Embarcadero at Bryant,54,523,Customer,10029
22160,13364,9/15/2013 12:45,Market at 4th,76,9/15/2013 16:28,Powell at Post (Union Square),71,471,Customer,12345
22161,854,9/15/2013 12:46,Market at Sansome,77,9/15/2013 13:00,San Francisco City Hall,58,587,Subscriber,94109
22162,393,9/15/2013 12:46,Market at 4th,76,9/15/2013 12:53,Steuart at Market,74,345,Customer,
22163,425,9/15/2013 12:47,South Van Ness at Market,66,9/15/2013 12:54,Civic Center BART (7th at Market),72,351,Subscriber,94103
22164,1216,9/15/2013 12:47,South Van Ness at Market,66,9/15/2013 13:07,Grant Avenue at Columbus Avenue,73,410,Customer,
