Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
110447,11/28/2013 15:42,Embarcadero at Sansome,60,11/28/2013 15:59,Washington at Kearney,46,545,Customer,92612
110448,11/28/2013 15:44,San Francisco Caltrain 2 (330 Townsend),69,11/28/2013 15:47,Townsend at 7th,65,529,Subscriber,94103
110452,11/28/2013 15:49,Embarcadero at Bryant,54,11/28/2013 15:56,Mechanics Plaza (Market at Battery),75,459,Subscriber,94107
110453,11/28/2013 15:52,Golden Gate at Polk,59,11/28/2013 16:10,Embarcadero at Sansome,60,478,Customer,95219
110454,11/28/2013 15:52,Market at 4th,76,11/28/2013 15:58,Clay at Battery,41,347,Subscriber,94102
110455,11/28/2013 15:59,Mechanics Plaza (Market at Battery),75,11/28/2013 16:17,Golden Gate at Polk,59,459,Subscriber,94107
110456,11/28/2013 16:00,Embarcadero at Sansome,60,11/28/2013 16:04,Embarcadero at Vallejo,48,520,Customer,94577
110457,11/28/2013 16:03,Spear at Folsom,49,11/28/2013 16:19,2nd at Townsend,61,399,Customer,94105
110459,11/28/2013 16:08,California Ave Caltrain Station,36,11/28/2013 17:00,California Ave Caltrain Station,36,161,Customer,94158
110460,11/28/2013 16:17,Temporary Transbay Terminal (Howard at Beale),55,11/28/2013 16:55,Beale at Market,56,436,Customer,94105
110462,11/28/2013 16:19,SJSU 4th at San Carlos,12,11/28/2013 16:29,San Salvador at 1st,8,298,Subscriber,95113
110463,11/28/2013 16:23,2nd at Townsend,61,11/28/2013 16:33,Spear at Folsom,49,399,Customer,94105
110464,11/28/2013 16:23,Grant Avenue at Columbus Avenue,73,11/28/2013 16:41,Embarcadero at Sansome,60,603,Customer,68138
110465,11/28/2013 16:25,Grant Avenue at Columbus Avenue,73,11/28/2013 16:41,Embarcadero at Sansome,60,580,Customer,68138
110466,11/28/2013 16:26,Grant Avenue at Columbus Avenue,73,11/28/2013 16:41,Embarcadero at Sansome,60,287,Customer,68138
110467,11/28/2013 16:29,Market at Sansome,77,11/28/2013 16:40,Spear at Folsom,49,494,Subscriber,94105
110468,11/28/2013 16:32,Embarcadero at Sansome,60,11/28/2013 16:50,Powell Street BART,39,535,Customer,
110469,11/28/2013 16:32,Embarcadero at Sansome,60,11/28/2013 16:49,Powell Street BART,39,291,Customer,
110471,11/28/2013 16:36,Clay at Battery,41,11/28/2013 16:46,5th at Howard,57,629,Subscriber,94111
110472,11/28/2013 16:36,Clay at Battery,41,11/28/2013 16:46,5th at Howard,57,277,Subscriber,94111
110473,11/28/2013 16:51,Embarcadero at Sansome,60,11/28/2013 17:15,Powell at Post (Union Square),71,478,Customer,
110474,11/28/2013 16:52,Embarcadero at Sansome,60,11/28/2013 17:14,Powell at Post (Union Square),71,538,Customer,11244
110475,11/28/2013 16:52,Embarcadero at Sansome,60,11/28/2013 17:14,Powell at Post (Union Square),71,398,Customer,64436
110476,11/28/2013 16:56,South Van Ness at Market,66,11/28/2013 17:06,Market at 4th,76,341,Subscriber,94105
110477,11/28/2013 17:04,5th at Howard,57,11/28/2013 17:17,Davis at Jackson,42,412,Subscriber,94111
110478,11/28/2013 17:04,5th at Howard,57,11/28/2013 17:17,Davis at Jackson,42,492,Subscriber,94111
110481,11/28/2013 17:16,Market at 4th,76,11/28/2013 17:28,2nd at Townsend,61,630,Customer,94107
110482,11/28/2013 17:17,Market at 4th,76,11/28/2013 17:27,2nd at Townsend,61,578,Subscriber,94107
110483,11/28/2013 17:21,Clay at Battery,41,11/28/2013 17:34,Market at 4th,76,637,Subscriber,94111
110484,11/28/2013 17:21,Clay at Battery,41,11/28/2013 17:35,Market at 4th,76,347,Subscriber,94111
110485,11/28/2013 17:21,Clay at Battery,41,11/28/2013 17:35,Market at 4th,76,632,Subscriber,94111
110486,11/28/2013 17:21,Powell Street BART,39,11/28/2013 17:29,Beale at Market,56,503,Customer,
110487,11/28/2013 17:57,Embarcadero at Sansome,60,11/28/2013 18:17,Market at 4th,76,370,Customer,68138
110488,11/28/2013 17:59,Embarcadero at Sansome,60,11/28/2013 18:17,Market at 4th,76,463,Customer,68138
110489,11/28/2013 17:59,Embarcadero at Sansome,60,11/28/2013 18:17,Market at 4th,76,491,Customer,68138
110490,11/28/2013 18:33,Market at Sansome,77,11/28/2013 18:48,Post at Kearney,47,439,Customer,10036
110491,11/28/2013 18:33,Market at Sansome,77,11/28/2013 18:48,Post at Kearney,47,309,Customer,10036
110492,11/28/2013 18:48,Post at Kearney,47,11/28/2013 18:59,Davis at Jackson,42,416,Subscriber,94111
110494,11/28/2013 18:49,Post at Kearney,47,11/28/2013 18:59,Davis at Jackson,42,507,Subscriber,94111
110495,11/28/2013 18:49,Post at Kearney,47,11/28/2013 19:16,Market at 4th,76,487,Customer,10036
110496,11/28/2013 18:49,Post at Kearney,47,11/28/2013 19:16,Market at 4th,76,561,Customer,10036
110497,11/28/2013 18:52,Mountain View City Hall,27,11/28/2013 18:55,Mountain View Caltrain Station,28,93,Subscriber,94103
110501,11/28/2013 19:06,Embarcadero at Folsom,51,11/28/2013 19:13,Yerba Buena Center of the Arts (3rd @ Howard),68,622,Subscriber,94105
110502,11/28/2013 19:25,5th at Howard,57,11/28/2013 19:48,2nd at Townsend,61,629,Customer,68138
110503,11/28/2013 19:25,5th at Howard,57,11/28/2013 19:48,2nd at Townsend,61,277,Customer,68138
110504,11/28/2013 19:26,5th at Howard,57,11/28/2013 19:48,2nd at Townsend,61,418,Customer,68138
110505,11/28/2013 19:46,Embarcadero at Bryant,54,11/28/2013 19:59,Embarcadero at Sansome,60,581,Subscriber,94105
110506,11/28/2013 19:48,Embarcadero at Bryant,54,11/28/2013 19:59,Embarcadero at Sansome,60,488,Customer,94105
110507,11/28/2013 19:51,2nd at Townsend,61,11/28/2013 20:07,Embarcadero at Bryant,54,633,Customer,68138
110508,11/28/2013 19:51,2nd at Townsend,61,11/28/2013 20:07,Embarcadero at Bryant,54,531,Customer,68138
110509,11/28/2013 19:51,2nd at Townsend,61,11/28/2013 20:07,Embarcadero at Bryant,54,418,Customer,68138
