Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
8769,1658,9/2/2013 12:18,Civic Center BART (7th at Market),72,9/2/2013 12:46,Embarcadero at Vallejo,48,267,Customer,
8770,677,9/2/2013 12:19,Harry Bridges Plaza (Ferry Building),50,9/2/2013 12:30,Grant Avenue at Columbus Avenue,73,291,Subscriber,94111
8771,1492,9/2/2013 12:21,Harry Bridges Plaza (Ferry Building),50,9/2/2013 12:46,Embarcadero at Sansome,60,432,Customer,90066
8773,6443,9/2/2013 12:21,Post at Kearney,47,9/2/2013 14:08,Post at Kearney,47,489,Customer,
8774,6455,9/2/2013 12:21,Post at Kearney,47,9/2/2013 14:09,Post at Kearney,47,375,Customer,
8775,1413,9/2/2013 12:22,San Francisco Caltrain 2 (330 Townsend),69,9/2/2013 12:46,Townsend at 7th,65,376,Customer,94123
8776,4989,9/2/2013 12:22,Embarcadero at Vallejo,48,9/2/2013 13:45,Embarcadero at Sansome,60,469,Customer,2118
8778,1381,9/2/2013 12:23,San Francisco Caltrain 2 (330 Townsend),69,9/2/2013 12:46,Townsend at 7th,65,269,Customer,94123
8779,1115,9/2/2013 12:23,Yerba Buena Center of the Arts (3rd @ Howard),68,9/2/2013 12:42,Embarcadero at Sansome,60,575,Customer,94704
8781,4890,9/2/2013 12:24,Embarcadero at Vallejo,48,9/2/2013 13:45,Embarcadero at Sansome,60,548,Customer,2118
8782,851,9/2/2013 12:24,Embarcadero at Sansome,60,9/2/2013 12:38,Embarcadero at Vallejo,48,357,Customer,94123
8785,810,9/2/2013 12:25,Embarcadero at Sansome,60,9/2/2013 12:38,Embarcadero at Vallejo,48,279,Customer,94107
8786,952,9/2/2013 12:26,Yerba Buena Center of the Arts (3rd @ Howard),68,9/2/2013 12:42,Embarcadero at Sansome,60,539,Customer,94110
8787,393,9/2/2013 12:26,San Pedro Square,6,9/2/2013 12:32,San Salvador at 1st,8,26,Subscriber,95112
8790,8975,9/2/2013 12:27,Embarcadero at Folsom,51,9/2/2013 14:57,Embarcadero at Folsom,51,381,Customer,11225
