Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
80091,1570,11/1/2013 13:48,Embarcadero at Sansome,60,11/1/2013 14:14,Clay at Battery,41,365,Customer,89144
80092,586,11/1/2013 13:49,Powell Street BART,39,11/1/2013 13:59,San Francisco Caltrain (Townsend at 4th),70,477,Subscriber,94158
80093,602,11/1/2013 13:50,2nd at Townsend,61,11/1/2013 14:00,Harry Bridges Plaza (Ferry Building),50,436,Subscriber,94610
80094,617,11/1/2013 13:51,Market at 10th,67,11/1/2013 14:01,Beale at Market,56,421,Subscriber,94105
80095,203,11/1/2013 13:51,2nd at Folsom,62,11/1/2013 13:55,2nd at Townsend,61,404,Subscriber,94606
80097,301,11/1/2013 13:54,Commercial at Montgomery,45,11/1/2013 13:59,Howard at 2nd,63,348,Subscriber,94122
80098,312,11/1/2013 13:56,Mountain View City Hall,27,11/1/2013 14:01,Mountain View Caltrain Station,28,176,Subscriber,94040
80099,877,11/1/2013 13:56,Harry Bridges Plaza (Ferry Building),50,11/1/2013 14:10,2nd at Townsend,61,583,Subscriber,94005
80100,614,11/1/2013 13:56,Embarcadero at Folsom,51,11/1/2013 14:06,San Francisco Caltrain 2 (330 Townsend),69,289,Customer,94116
80101,2780,11/1/2013 13:57,Harry Bridges Plaza (Ferry Building),50,11/1/2013 14:44,Embarcadero at Sansome,60,553,Customer,83712
80102,205,11/1/2013 13:58,Mechanics Plaza (Market at Battery),75,11/1/2013 14:02,Steuart at Market,74,364,Subscriber,94133
80103,2702,11/1/2013 13:59,Harry Bridges Plaza (Ferry Building),50,11/1/2013 14:44,Embarcadero at Sansome,60,481,Customer,83712
80106,734,11/1/2013 14:03,Embarcadero at Bryant,54,11/1/2013 14:15,Post at Kearney,47,531,Subscriber,94610
80107,269,11/1/2013 14:03,San Salvador at 1st,8,11/1/2013 14:08,San Jose City Hall,10,91,Subscriber,95070
80108,222,11/1/2013 14:03,Mechanics Plaza (Market at Battery),75,11/1/2013 14:07,Market at 4th,76,594,Subscriber,94117
80109,243,11/1/2013 14:04,Commercial at Montgomery,45,11/1/2013 14:08,Post at Kearney,47,275,Subscriber,94107
80110,2407,11/1/2013 14:04,Harry Bridges Plaza (Ferry Building),50,11/1/2013 14:44,Embarcadero at Sansome,60,436,Customer,
80111,217,11/1/2013 14:04,Civic Center BART (7th at Market),72,11/1/2013 14:08,Market at 10th,67,267,Subscriber,94086
80112,290,11/1/2013 14:04,Howard at 2nd,63,11/1/2013 14:08,2nd at South Park,64,533,Subscriber,94109
80113,475,11/1/2013 14:05,Townsend at 7th,65,11/1/2013 14:13,Townsend at 7th,65,462,Subscriber,94117
80114,3530,11/1/2013 14:07,Mechanics Plaza (Market at Battery),75,11/1/2013 15:06,Harry Bridges Plaza (Ferry Building),50,514,Customer,7920
80116,496,11/1/2013 14:07,Yerba Buena Center of the Arts (3rd @ Howard),68,11/1/2013 14:16,Steuart at Market,74,461,Customer,32940
80118,853,11/1/2013 14:10,Grant Avenue at Columbus Avenue,73,11/1/2013 14:24,South Van Ness at Market,66,557,Subscriber,94133
80119,673,11/1/2013 14:10,San Francisco City Hall,58,11/1/2013 14:21,5th at Howard,57,631,Subscriber,94117
80120,380,11/1/2013 14:11,Howard at 2nd,63,11/1/2013 14:17,Powell Street BART,39,348,Subscriber,94102
80121,409,11/1/2013 14:08,2nd at Townsend,61,11/1/2013 14:15,Harry Bridges Plaza (Ferry Building),50,404,Subscriber,94608
80122,362,11/1/2013 14:14,2nd at Folsom,62,11/1/2013 14:20,Beale at Market,56,602,Subscriber,94611
80123,261,11/1/2013 14:16,Market at 4th,76,11/1/2013 14:20,Mechanics Plaza (Market at Battery),75,594,Subscriber,94117
80124,771,11/1/2013 14:17,5th at Howard,57,11/1/2013 14:30,Embarcadero at Folsom,51,544,Subscriber,94605
80128,419,11/1/2013 14:19,Commercial at Montgomery,45,11/1/2013 14:26,Commercial at Montgomery,45,604,Subscriber,94704
80129,812,11/1/2013 14:21,Civic Center BART (7th at Market),72,11/1/2013 14:35,Embarcadero at Bryant,54,612,Subscriber,94105
80130,508,11/1/2013 14:22,Temporary Transbay Terminal (Howard at Beale),55,11/1/2013 14:30,2nd at Folsom,62,409,Subscriber,94107
80131,992,11/1/2013 14:22,Embarcadero at Vallejo,48,11/1/2013 14:39,Grant Avenue at Columbus Avenue,73,361,Customer,81601
80132,391,11/1/2013 14:22,Mechanics Plaza (Market at Battery),75,11/1/2013 14:29,Powell Street BART,39,343,Subscriber,94111
80133,446,11/1/2013 14:23,Powell Street BART,39,11/1/2013 14:30,2nd at Folsom,62,348,Subscriber,94105
