Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
185314,670,2/14/2014 18:41,Market at Sansome,77,2/14/2014 18:52,San Francisco Caltrain 2 (330 Townsend),69,317,Subscriber,95014
185316,551,2/14/2014 18:43,San Francisco Caltrain 2 (330 Townsend),69,2/14/2014 18:52,Market at 10th,67,337,Subscriber,94103
185317,665,2/14/2014 18:44,San Jose Diridon Caltrain Station,2,2/14/2014 18:55,SJSU - San Salvador at 9th,16,660,Subscriber,95112
185318,381,2/14/2014 18:44,2nd at Townsend,61,2/14/2014 18:50,Harry Bridges Plaza (Ferry Building),50,426,Subscriber,94612
185319,411,2/14/2014 18:44,San Francisco Caltrain (Townsend at 4th),70,2/14/2014 18:51,Embarcadero at Bryant,54,420,Subscriber,94105
185321,624,2/14/2014 18:43,San Francisco Caltrain (Townsend at 4th),70,2/14/2014 18:53,Powell at Post (Union Square),71,511,Subscriber,94108
185323,753,2/14/2014 18:46,San Francisco Caltrain (Townsend at 4th),70,2/14/2014 18:58,Market at 4th,76,387,Subscriber,94107
185326,295,2/14/2014 18:47,Commercial at Montgomery,45,2/14/2014 18:52,Embarcadero at Sansome,60,561,Subscriber,94111
185330,452,2/14/2014 18:50,Clay at Battery,41,2/14/2014 18:58,Grant Avenue at Columbus Avenue,73,535,Subscriber,94107
185332,469,2/14/2014 18:51,Clay at Battery,41,2/14/2014 18:59,Embarcadero at Bryant,54,341,Subscriber,94107
185333,593,2/14/2014 18:55,Temporary Transbay Terminal (Howard at Beale),55,2/14/2014 19:05,2nd at Townsend,61,609,Subscriber,94158
185334,284,2/14/2014 18:55,Powell Street BART,39,2/14/2014 19:00,Market at 10th,67,353,Subscriber,94114
185335,907,2/14/2014 18:56,San Francisco Caltrain 2 (330 Townsend),69,2/14/2014 19:11,South Van Ness at Market,66,532,Customer,94117
185336,282,2/14/2014 18:56,Townsend at 7th,65,2/14/2014 19:01,San Francisco Caltrain (Townsend at 4th),70,222,Subscriber,94158
