Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
128788,12/17/2013 17:12,Clay at Battery,12,12/17/2013 17:30,San Jose Diridon Caltrain Station,2,297,Subscriber,95110
128791,12/17/2013 17:13,Clay at Battery,48,12/17/2013 17:28,2nd at Townsend,61,598,Subscriber,94107
128792,12/17/2013 17:13,Clay at Battery,45,12/17/2013 17:21,San Francisco Caltrain (Townsend at 4th),70,480,Subscriber,94061
128793,12/17/2013 17:13,Clay at Battery,48,12/17/2013 17:21,Embarcadero at Bryant,54,382,Subscriber,94107
128795,12/17/2013 17:13,Clay at Battery,50,12/17/2013 17:23,San Francisco Caltrain (Townsend at 4th),70,559,Subscriber,94501
128797,12/17/2013 17:14,Clayat Battery,60,12/17/2013 17:36,San Francisco Caltrain (Townsend at 4th),70,343,Customer,10025
128799,12/17/2013 17:14,Clay at Battery,64,12/17/2013 17:18,Market at Sansome,77,379,Subscriber,94588
128800,12/17/2013 17:15,Clay at Battery,69,12/17/2013 17:26,Yerba Buena Center of the Arts (3rd @ Howard),68,580,Subscriber,94549
128806,12/17/2013 17:16,Clay at Battery,77,12/17/2013 17:23,2nd at South Park,64,523,Subscriber,94107
128807,12/17/2013 17:17,Clay at Battery,47,12/17/2013 17:26,San Francisco Caltrain (Townsend at 4th),70,629,Subscriber,94403
128808,12/17/2013 17:17,Clay at Battery,56,12/17/2013 17:30,San Francisco Caltrain (Townsend at 4th),70,399,Subscriber,94062
128809,12/17/2013 17:18,Clay at Battery,47,12/17/2013 17:23,Commercial at Montgomery,45,324,Subscriber,94111
128810,12/17/2013 17:20,Clay at Battery,6,12/17/2013 17:27,San Jose Diridon Caltrain Station,2,152,Subscriber,95377
128811,12/17/2013 17:20,Clay at Battery,61,12/17/2013 17:30,Harry Bridges Plaza (Ferry Building),50,454,Subscriber,94558
128812,12/17/2013 17:21,Clay at Battery,64,12/17/2013 17:26,Market at Sansome,77,550,Subscriber,94606
128815,12/17/2013 17:22,Clay at Battery,51,12/17/2013 17:34,Grant Avenue at Columbus Avenue,73,445,Subscriber,94133
128816,12/17/2013 17:22,Clay at Battery,68,12/17/2013 17:36,Market at 10th,67,366,Subscriber,94102
128817,12/17/2013 17:22,Clay at Battery,62,12/17/2013 17:26,Market at Sansome,77,319,Subscriber,94115
128818,12/17/2013 17:24,Clay at Battery,70,12/17/2013 17:28,2nd at Townsend,61,539,Subscriber,94107
128819,12/17/2013 17:24,Clay at Battery,62,12/17/2013 17:30,San Francisco Caltrain (Townsend at 4th),70,339,Subscriber,95112
128821,12/17/2013 17:25,Clay at Battery,56,12/17/2013 17:30,Embarcadero at Folsom,51,569,Subscriber,94041
128823,12/17/2013 17:27,Clay at Battery,49,12/17/2013 17:32,Steuart at Market,74,485,Subscriber,94115
128824,12/17/2013 17:28,Clay at Battery,55,12/17/2013 17:31,Beale at Market,56,332,Subscriber,94127
128826,12/17/2013 17:28,Clay at Battery,46,12/17/2013 17:56,Commercial at Montgomery,45,527,Subscriber,94115
128827,12/17/2013 17:28,Clay at Battery,51,12/17/2013 17:38,San Francisco Caltrain (Townsend at 4th),70,478,Subscriber,94403
128828,12/17/2013 17:28,Clay at Battery,74,12/17/2013 17:29,Steuart at Market,74,409,Subscriber,94105
128829,12/17/2013 17:29,Clay at Battery,69,12/17/2013 17:39,Harry Bridges Plaza (Ferry Building),50,627,Subscriber,94107
128830,12/17/2013 17:30,Clay at Battery,70,12/17/2013 17:40,5th at Howard,57,549,Subscriber,95126
128831,12/17/2013 17:30,Clay at Battery,51,12/17/2013 17:37,2nd at Townsend,61,350,Subscriber,94107
128832,12/17/2013 17:30,Clayat Battery,46,12/17/2013 17:58,Commercial at Montgomery,45,551,Customer,94506
128833,12/17/2013 17:31,Clay at Battery,48,12/17/2013 17:43,2nd at South Park,64,416,Subscriber,94602
128834,12/17/2013 17:31,Clay at Battery,64,12/17/2013 17:42,Steuart at Market,74,356,Subscriber,94110
128835,12/17/2013 17:32,Clay at Battery,54,12/17/2013 17:45,Townsend at 7th,65,589,Subscriber,94107
128836,12/17/2013 17:33,Clay at Battery,50,12/17/2013 17:41,2nd at Townsend,61,578,Subscriber,94002
128837,12/17/2013 17:34,Clay at Battery,69,12/17/2013 17:38,Townsend at 7th,65,336,Subscriber,94107
128838,12/17/2013 17:34,Clay at Battery,63,12/17/2013 17:37,Yerba Buena Center of the Arts (3rd @ Howard),68,479,Subscriber,94107
128839,12/17/2013 17:35,Clay at Battery,55,12/17/2013 17:40,Clay at Battery,41,351,Subscriber,94965
128840,12/17/2013 17:35,Clay at Battery,4,12/17/2013 17:40,San Jose Diridon Caltrain Station,2,175,Subscriber,95126
128841,12/17/2013 17:36,Clay at Battery,65,12/17/2013 18:03,Townsend at 7th,65,481,Subscriber,94611
128843,12/17/2013 17:36,Clay at Battery,70,12/17/2013 17:47,Steuart at Market,74,265,Subscriber,94133
128844,12/17/2013 17:36,Clay at Battery,74,12/17/2013 17:45,Yerba Buena Center of the Arts (3rd @ Howard),68,521,Subscriber,94117
128845,12/17/2013 17:37,Clay at Battery,64,12/17/2013 17:41,Market at Sansome,77,318,Subscriber,94080
