Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
16860,691,9/10/2013 16:27,Spear at Folsom,49,9/10/2013 16:38,San Francisco Caltrain (Townsend at 4th),70,497,Subscriber,94022
16863,1088,9/10/2013 16:28,Commercial at Montgomery,45,9/10/2013 16:46,South Van Ness at Market,66,422,Subscriber,94102
16865,938,9/10/2013 16:29,Townsend at 7th,65,9/10/2013 16:45,Harry Bridges Plaza (Ferry Building),50,604,Subscriber,94590
16866,1224,9/10/2013 16:30,Townsend at 7th,65,9/10/2013 16:51,Temporary Transbay Terminal (Howard at Beale),55,342,Customer,33903
16867,820,9/10/2013 16:31,Embarcadero at Sansome,60,9/10/2013 16:44,Market at Sansome,77,498,Subscriber,94110
16869,187,9/10/2013 16:33,2nd at Folsom,62,9/10/2013 16:36,Market at Sansome,77,530,Subscriber,94518
16871,1081,9/10/2013 16:33,Davis at Jackson,42,9/10/2013 16:51,Embarcadero at Sansome,60,283,Subscriber,94111
16874,679,9/10/2013 16:35,San Francisco Caltrain 2 (330 Townsend),69,9/10/2013 16:46,Powell Street BART,39,582,Subscriber,94107
16875,649,9/10/2013 16:35,Steuart at Market,74,9/10/2013 16:46,Powell Street BART,39,486,Subscriber,94103
16876,452,9/10/2013 16:37,Market at Sansome,77,9/10/2013 16:44,2nd at South Park,64,491,Subscriber,94107
16877,544,9/10/2013 16:37,Steuart at Market,74,9/10/2013 16:46,2nd at Townsend,61,272,Subscriber,94010
16878,256,9/10/2013 16:39,South Van Ness at Market,66,9/10/2013 16:43,Civic Center BART (7th at Market),72,357,Subscriber,94612
16879,1017,9/10/2013 16:39,Mechanics Plaza (Market at Battery),75,9/10/2013 16:56,San Francisco Caltrain (Townsend at 4th),70,581,Subscriber,95112
16880,677,9/10/2013 16:41,Davis at Jackson,42,9/10/2013 16:52,Embarcadero at Sansome,60,484,Customer,94111
16881,691,9/10/2013 16:41,Embarcadero at Folsom,51,9/10/2013 16:53,San Francisco Caltrain (Townsend at 4th),70,474,Subscriber,94404
16882,1362,9/10/2013 16:42,Embarcadero at Sansome,60,9/10/2013 17:05,2nd at Townsend,61,433,Customer,
16883,1377,9/10/2013 16:42,Embarcadero at Sansome,60,9/10/2013 17:05,2nd at Townsend,61,487,Customer,
16884,1367,9/10/2013 16:42,Embarcadero at Sansome,60,9/10/2013 17:05,2nd at Townsend,61,512,Customer,
16885,1339,9/10/2013 16:43,Embarcadero at Sansome,60,9/10/2013 17:05,2nd at Townsend,61,483,Customer,
16886,457,9/10/2013 16:43,Powell at Post (Union Square),71,9/10/2013 16:51,Clay at Battery,41,392,Subscriber,94107
16889,528,9/10/2013 16:45,Grant Avenue at Columbus Avenue,73,9/10/2013 16:54,Temporary Transbay Terminal (Howard at Beale),55,270,Customer,94306
16890,317,9/10/2013 16:46,Mountain View Caltrain Station,28,9/10/2013 16:51,Mountain View City Hall,27,149,Subscriber,95035
16894,251,9/10/2013 16:49,Harry Bridges Plaza (Ferry Building),50,9/10/2013 16:53,Clay at Battery,41,542,Subscriber,94115
16895,281,9/10/2013 16:50,Commercial at Montgomery,45,9/10/2013 16:54,Davis at Jackson,42,325,Subscriber,94111
16896,1061,9/10/2013 16:50,San Francisco City Hall,58,9/10/2013 17:08,2nd at Folsom,62,541,Subscriber,94105
16898,628,9/10/2013 16:51,Embarcadero at Folsom,51,9/10/2013 17:02,Grant Avenue at Columbus Avenue,73,278,Subscriber,94133
16899,1089,9/10/2013 16:52,Mechanics Plaza (Market at Battery),75,9/10/2013 17:10,San Francisco Caltrain (Townsend at 4th),70,613,Subscriber,95118
16901,336,9/10/2013 16:53,Santa Clara at Almaden,4,9/10/2013 16:59,San Jose Diridon Caltrain Station,2,645,Subscriber,94403
