Date,Max_Temperature_F,Mean_Temperature_F,Min_TemperatureF,Max_Dew_Point_F,MeanDew_Point_F,Min_Dewpoint_F,Max_Humidity,Mean_Humidity ,Min_Humidity ,Max_Sea_Level_Pressure_In ,Mean_Sea_Level_Pressure_In ,Min_Sea_Level_Pressure_In ,Max_Visibility_Miles ,Mean_Visibility_Miles ,Min_Visibility_Miles ,Max_Wind_Speed_MPH ,Mean_Wind_Speed_MPH ,Max_Gust_Speed_MPH,Precipitation_In ,Cloud_Cover ,Events,Wind_Dir_Degrees,zip
2/9/2014,63,60,57,55,53,52,93,80,67,30.18,30.14,30.1,10,10,10,17,10,23.0,0.05,8,,136,95113
2/10/2014,62,57,51,54,52,50,100,86,72,30.28,30.22,30.12,10,9,2,14,5,16.0,0.01,7,,311,95113
2/11/2014,62,56,49,52,49,46,100,80,60,30.26,30.23,30.17,10,6,1,14,3,17.0,0,7,,325,95113
2/12/2014,63,56,49,50,47,41,93,78,48,30.29,30.23,30.19,10,8,3,12,3,14.0,0,7,,294,95113
2/13/2014,69,59,49,55,51,46,100,80,59,30.23,30.17,30.1,10,6,0,13,4,15.0,0,5,Fog,276,95113
2/14/2014,63,58,53,56,53,48,100,82,64,30.17,30.13,30.06,10,7,1,12,4,14.0,T,7,,312,95113
2/15/2014,63,56,48,52,49,46,93,80,67,30.06,30.02,29.98,10,10,10,18,6,23.0,0.02,6,Rain,128,95113
2/16/2014,63,55,47,54,45,33,100,67,34,30.21,30.13,30.05,10,9,2,14,5,23.0,0.04,5,Rain,307,95113
2/17/2014,61,50,39,46,40,36,86,64,42,30.19,30.15,30.11,10,10,10,16,6,20.0,0,3,,307,95113
2/18/2014,64,54,43,49,44,38,89,64,39,30.21,30.15,30.1,10,10,10,20,4,24.0,0,5,,316,95113
2/19/2014,63,56,49,52,47,40,100,72,43,30.21,30.16,30.11,10,10,7,21,8,23.0,0.01,4,Rain,304,95113
2/20/2014,67,55,42,44,39,32,89,59,29,30.21,30.16,30.11,10,10,10,16,4,17.0,0,3,,289,95113
2/21/2014,72,57,42,48,41,32,83,54,24,30.12,30.06,29.98,10,10,10,15,4,17.0,0,1,,306,95113
2/22/2014,71,57,42,49,44,33,93,60,26,30.02,29.98,29.92,10,10,10,14,5,17.0,0,2,,304,95113
2/23/2014,68,57,45,50,46,40,93,64,35,30.04,29.99,29.94,10,9,5,16,3,20.0,0,3,,284,95113
2/24/2014,73,59,44,48,43,40,89,61,33,30.0,29.96,29.89,10,10,10,15,3,18.0,0,1,,291,95113
2/25/2014,66,55,44,48,45,43,100,76,52,29.99,29.95,29.9,10,8,3,14,6,16.0,0,4,,163,95113
2/26/2014,61,57,52,57,51,45,100,83,66,29.96,29.86,29.7,10,9,3,29,13,40.0,0.68,7,Rain,129,95113
2/27/2014,65,59,52,54,48,44,83,66,48,29.91,29.79,29.51,10,10,9,26,10,36.0,0.01,6,Rain,123,95113
2/28/2014,62,57,52,56,50,46,100,78,55,29.51,29.43,29.39,10,8,2,25,12,35.0,0.97,7,Rain,125,95113
