Trip ID,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
97187,11/15/2013 9:42,Clay at Battery,63,11/15/2013 9:57,Powell Street BART,39,491,Subscriber,94010
97188,11/15/2013 9:42,Clay at Battery,66,11/15/2013 9:54,Howard at 2nd,63,566,Subscriber,94103
97189,11/15/2013 9:42,Clay at Battery,70,11/15/2013 9:49,Yerba Buena Center of the Arts (3rd @ Howard),68,467,Subscriber,94025
97190,11/15/2013 9:42,Clay at Battery,61,11/15/2013 9:51,Townsend at 7th,65,367,Subscriber,94107
97194,11/15/2013 9:44,Clayat Battery,66,11/15/2013 10:27,South Van Ness at Market,66,350,Customer,94030
97195,11/15/2013 9:44,Clay at Battery,59,11/15/2013 9:49,Powell Street BART,39,610,Subscriber,94102
97196,11/15/2013 9:44,Clay at Battery,42,11/15/2013 10:11,Market at 10th,67,542,Subscriber,94111
97200,11/15/2013 9:45,Clay at Battery,63,11/15/2013 9:49,Beale at Market,56,456,Subscriber,94117
97201,11/15/2013 9:45,Clay at Battery,77,11/15/2013 9:54,Grant Avenue at Columbus Avenue,73,424,Subscriber,94120
97202,11/15/2013 9:45,Clay at Battery,75,11/15/2013 9:50,Commercial at Montgomery,45,445,Subscriber,94704
97205,11/15/2013 9:47,Clay at Battery,67,11/15/2013 9:59,Steuart at Market,74,419,Subscriber,94105
97206,11/15/2013 9:47,Clay at Battery,74,11/15/2013 9:56,2nd at Townsend,61,511,Subscriber,94612
97207,11/15/2013 9:48,Clay at Battery,67,11/15/2013 9:58,Mechanics Plaza (Market at Battery),75,547,Subscriber,94102
97208,11/15/2013 9:49,Clay at Battery,60,11/15/2013 9:58,Temporary Transbay Terminal (Howard at Beale),55,557,Subscriber,94105
97209,11/15/2013 9:49,Clay at Battery,46,11/15/2013 9:54,Steuart at Market,74,290,Subscriber,94133
97210,11/15/2013 9:51,Clay at Battery,68,11/15/2013 10:03,Market at 10th,67,327,Subscriber,94107
97211,11/15/2013 9:51,Clay at Battery,50,11/15/2013 10:08,Powell at Post (Union Square),71,446,Subscriber,94945
97212,11/15/2013 9:52,Clay at Battery,70,11/15/2013 10:15,Spear at Folsom,49,621,Subscriber,94024
97213,11/15/2013 9:50,Clay at Battery,41,11/15/2013 9:58,Embarcadero at Sansome,60,505,Subscriber,94103
97214,11/15/2013 9:52,Clay at Battery,64,11/15/2013 10:03,Embarcadero at Vallejo,48,517,Subscriber,94602
97215,11/15/2013 9:54,Clay at Battery,37,11/15/2013 9:57,University and Emerson,35,27,Subscriber,94301
97216,11/15/2013 9:54,Clay at Battery,64,11/15/2013 10:00,Market at Sansome,77,584,Subscriber,94107
97222,11/15/2013 9:55,Clay at Battery,50,11/15/2013 10:00,Embarcadero at Vallejo,48,615,Subscriber,94131
97225,11/15/2013 9:56,Clay at Battery,56,11/15/2013 10:03,Embarcadero at Vallejo,48,456,Subscriber,94111
97228,11/15/2013 9:57,Clayat Battery,77,11/15/2013 10:59,Mechanics Plaza (Market at Battery),75,380,Customer,11570
