Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
124539,339,12/13/2013 12:58,Powell Street BART,39,12/13/2013 13:04,South Van Ness at Market,66,413,Subscriber,94061
124540,455,12/13/2013 13:00,Mechanics Plaza (Market at Battery),75,12/13/2013 13:07,Powell at Post (Union Square),71,525,Subscriber,94111
124541,565,12/13/2013 13:00,Civic Center BART (7th at Market),72,12/13/2013 13:09,Mechanics Plaza (Market at Battery),75,562,Subscriber,94612
124542,1851,12/13/2013 13:01,Powell Street BART,39,12/13/2013 13:32,Embarcadero at Sansome,60,336,Customer,6700
124543,781,12/13/2013 13:02,Embarcadero at Folsom,51,12/13/2013 13:15,Townsend at 7th,65,364,Subscriber,94402
124546,1774,12/13/2013 13:03,Powell Street BART,39,12/13/2013 13:32,Embarcadero at Sansome,60,382,Customer,6700
124548,502,12/13/2013 13:03,Market at 10th,67,12/13/2013 13:12,Market at 4th,76,489,Subscriber,94930
124549,365,12/13/2013 13:06,Harry Bridges Plaza (Ferry Building),50,12/13/2013 13:12,Market at Sansome,77,511,Subscriber,94618
124550,270,12/13/2013 13:06,Embarcadero at Sansome,60,12/13/2013 13:10,Davis at Jackson,42,378,Subscriber,94102
124551,795,12/13/2013 13:06,Townsend at 7th,65,12/13/2013 13:19,Golden Gate at Polk,59,485,Subscriber,94109
124552,290,12/13/2013 13:10,Davis at Jackson,42,12/13/2013 13:14,Market at Sansome,77,481,Subscriber,94111
124553,525,12/13/2013 13:10,Embarcadero at Vallejo,48,12/13/2013 13:19,2nd at Townsend,61,534,Subscriber,94107
124554,327,12/13/2013 13:11,Embarcadero at Bryant,54,12/13/2013 13:16,Harry Bridges Plaza (Ferry Building),50,478,Subscriber,94123
124556,769,12/13/2013 13:13,Spear at Folsom,49,12/13/2013 13:26,Civic Center BART (7th at Market),72,284,Subscriber,94105
124557,4335,12/13/2013 13:13,San Francisco City Hall,58,12/13/2013 14:25,San Francisco City Hall,58,615,Customer,94109
124559,6351,12/13/2013 13:14,Harry Bridges Plaza (Ferry Building),50,12/13/2013 15:00,Harry Bridges Plaza (Ferry Building),50,289,Customer,94710
124560,702,12/13/2013 13:14,Embarcadero at Vallejo,48,12/13/2013 13:26,Post at Kearney,47,352,Subscriber,94123
124561,812,12/13/2013 13:15,Harry Bridges Plaza (Ferry Building),50,12/13/2013 13:28,San Francisco City Hall,58,548,Subscriber,94598
124563,190,12/13/2013 13:17,San Francisco Caltrain 2 (330 Townsend),69,12/13/2013 13:20,Townsend at 7th,65,494,Subscriber,94541
124564,513,12/13/2013 13:17,Embarcadero at Vallejo,48,12/13/2013 13:26,Embarcadero at Bryant,54,400,Subscriber,94107
124565,6144,12/13/2013 13:18,Harry Bridges Plaza (Ferry Building),50,12/13/2013 15:00,Harry Bridges Plaza (Ferry Building),50,580,Customer,98103
124566,313,12/13/2013 13:20,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 13:25,2nd at Townsend,61,274,Subscriber,94114
124567,1044,12/13/2013 13:24,SJSU - San Salvador at 9th,16,12/13/2013 13:41,San Pedro Square,6,262,Subscriber,95116
124568,440,12/13/2013 13:24,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 13:31,Embarcadero at Sansome,60,337,Subscriber,94111
124569,345,12/13/2013 13:24,Harry Bridges Plaza (Ferry Building),50,12/13/2013 13:30,Embarcadero at Bryant,54,518,Subscriber,94123
124570,296,12/13/2013 13:25,Commercial at Montgomery,45,12/13/2013 13:30,Post at Kearney,47,446,Subscriber,94704
124571,374,12/13/2013 13:27,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 13:33,Civic Center BART (7th at Market),72,504,Subscriber,94041
124572,261,12/13/2013 13:28,2nd at Folsom,62,12/13/2013 13:32,Beale at Market,56,559,Subscriber,94611
124573,236,12/13/2013 13:29,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 13:33,Market at Sansome,77,330,Subscriber,94117
124574,321,12/13/2013 13:29,Spear at Folsom,49,12/13/2013 13:34,2nd at South Park,64,300,Subscriber,94105
124575,272,12/13/2013 13:31,Market at Sansome,77,12/13/2013 13:35,Market at 4th,76,624,Subscriber,94102
124576,616,12/13/2013 13:31,San Francisco Caltrain (Townsend at 4th),70,12/13/2013 13:42,Temporary Transbay Terminal (Howard at Beale),55,433,Subscriber,94965
124577,208,12/13/2013 13:32,Grant Avenue at Columbus Avenue,73,12/13/2013 13:36,Clay at Battery,41,631,Subscriber,94133
124578,520,12/13/2013 13:34,Market at Sansome,77,12/13/2013 13:42,San Francisco Caltrain (Townsend at 4th),70,499,Customer,94611
124580,329,12/13/2013 13:34,Embarcadero at Folsom,51,12/13/2013 13:40,2nd at Townsend,61,627,Subscriber,94605
124581,294,12/13/2013 13:34,San Pedro Square,6,12/13/2013 13:39,San Jose City Hall,10,151,Subscriber,95112
124582,582,12/13/2013 13:35,Post at Kearney,47,12/13/2013 13:45,Spear at Folsom,49,446,Subscriber,94043
124584,307,12/13/2013 13:34,Spear at Folsom,49,12/13/2013 13:39,Beale at Market,56,519,Subscriber,94588
124588,686,12/13/2013 13:40,Powell Street BART,39,12/13/2013 13:51,2nd at South Park,64,458,Subscriber,94107
124589,382,12/13/2013 13:40,Embarcadero at Vallejo,48,12/13/2013 13:46,Spear at Folsom,49,556,Subscriber,94103
124590,690,12/13/2013 13:40,Powell Street BART,39,12/13/2013 13:52,2nd at South Park,64,344,Subscriber,94107
124595,925,12/13/2013 13:43,Embarcadero at Bryant,54,12/13/2013 13:59,Howard at 2nd,63,518,Subscriber,94107
124597,545,12/13/2013 13:45,Market at 4th,76,12/13/2013 13:54,Temporary Transbay Terminal (Howard at Beale),55,576,Subscriber,94110
124598,533,12/13/2013 13:45,Market at 10th,67,12/13/2013 13:54,5th at Howard,57,536,Subscriber,94703
124599,4798,12/13/2013 13:45,Powell Street BART,39,12/13/2013 15:05,Powell Street BART,39,406,Customer,
124600,432,12/13/2013 13:46,Embarcadero at Vallejo,48,12/13/2013 13:54,Embarcadero at Bryant,54,474,Subscriber,94105
124606,329,12/13/2013 13:47,San Francisco Caltrain 2 (330 Townsend),69,12/13/2013 13:53,Townsend at 7th,65,617,Customer,94107
124607,323,12/13/2013 13:47,San Francisco Caltrain 2 (330 Townsend),69,12/13/2013 13:53,Townsend at 7th,65,291,Subscriber,94107
124608,767,12/13/2013 13:48,Embarcadero at Sansome,60,12/13/2013 14:01,Embarcadero at Folsom,51,336,Customer,55082
124613,434,12/13/2013 13:49,Spear at Folsom,49,12/13/2013 13:56,2nd at South Park,64,444,Subscriber,94123
124614,757,12/13/2013 13:50,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 14:03,2nd at South Park,64,491,Subscriber,94568
124617,427,12/13/2013 13:53,2nd at Townsend,61,12/13/2013 14:00,Embarcadero at Folsom,51,274,Subscriber,94605
124618,601,12/13/2013 13:53,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 14:03,2nd at South Park,64,517,Customer,95037
124619,156,12/13/2013 13:54,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 13:56,Beale at Market,56,433,Subscriber,94111
124620,639,12/13/2013 13:56,Davis at Jackson,42,12/13/2013 14:07,San Francisco Caltrain (Townsend at 4th),70,612,Subscriber,94110
124621,398,12/13/2013 13:57,Howard at 2nd,63,12/13/2013 14:04,Commercial at Montgomery,45,431,Subscriber,94105
124622,1040,12/13/2013 13:58,Embarcadero at Bryant,54,12/13/2013 14:15,Powell at Post (Union Square),71,474,Customer,20008
124623,189,12/13/2013 14:00,Powell Street BART,39,12/13/2013 14:03,Market at 4th,76,401,Subscriber,94041
124624,176,12/13/2013 14:02,Davis at Jackson,42,12/13/2013 14:05,Beale at Market,56,388,Subscriber,94609
124625,4422,12/13/2013 14:03,Mountain View Caltrain Station,28,12/13/2013 15:17,Mountain View Caltrain Station,28,55,Customer,95127
124626,281,12/13/2013 14:07,Townsend at 7th,65,12/13/2013 14:12,San Francisco Caltrain (Townsend at 4th),70,494,Subscriber,94107
124628,282,12/13/2013 14:11,Market at Sansome,77,12/13/2013 14:15,Commercial at Montgomery,45,486,Subscriber,94704
124629,636,12/13/2013 14:11,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 14:22,San Francisco Caltrain (Townsend at 4th),70,576,Subscriber,94403
124630,20820,12/13/2013 14:11,Mountain View Caltrain Station,28,12/13/2013 19:58,Mountain View Caltrain Station,28,243,Customer,94544
124631,257,12/13/2013 14:13,2nd at South Park,64,12/13/2013 14:17,Market at Sansome,77,300,Subscriber,94107
124636,241,12/13/2013 14:20,Howard at 2nd,63,12/13/2013 14:24,Market at 4th,76,410,Subscriber,94518
124637,7050,12/13/2013 14:22,Market at 4th,76,12/13/2013 16:19,Harry Bridges Plaza (Ferry Building),50,502,Customer,2874
124639,1674,12/13/2013 14:24,San Pedro Square,6,12/13/2013 14:52,SJSU - San Salvador at 9th,16,183,Subscriber,95116
124640,304,12/13/2013 14:24,Market at Sansome,77,12/13/2013 14:29,Davis at Jackson,42,443,Subscriber,94133
124641,338,12/13/2013 14:28,Howard at 2nd,63,12/13/2013 14:34,2nd at South Park,64,518,Subscriber,94111
124644,396,12/13/2013 14:33,Steuart at Market,74,12/13/2013 14:39,2nd at Townsend,61,282,Subscriber,94608
124645,1011,12/13/2013 14:37,Market at Sansome,77,12/13/2013 14:54,San Francisco Caltrain 2 (330 Townsend),69,300,Subscriber,94402
124646,282,12/13/2013 14:38,Post at Kearney,47,12/13/2013 14:43,Washington at Kearney,46,352,Subscriber,94164
124647,617,12/13/2013 14:38,Embarcadero at Sansome,60,12/13/2013 14:49,Harry Bridges Plaza (Ferry Building),50,407,Customer,33868
124648,623,12/13/2013 14:38,Embarcadero at Sansome,60,12/13/2013 14:49,Harry Bridges Plaza (Ferry Building),50,337,Customer,33868
124650,674,12/13/2013 14:42,Embarcadero at Bryant,54,12/13/2013 14:53,Embarcadero at Vallejo,48,400,Subscriber,94606
124652,489,12/13/2013 14:43,Embarcadero at Folsom,51,12/13/2013 14:51,San Francisco Caltrain 2 (330 Townsend),69,336,Subscriber,95130
124653,935,12/13/2013 14:44,San Francisco Caltrain (Townsend at 4th),70,12/13/2013 15:00,Grant Avenue at Columbus Avenue,73,499,Subscriber,94133
124654,1291,12/13/2013 14:46,Spear at Folsom,49,12/13/2013 15:07,South Van Ness at Market,66,602,Subscriber,94105
124656,3462,12/13/2013 14:48,Beale at Market,56,12/13/2013 15:46,Beale at Market,56,349,Customer,94920
124657,267,12/13/2013 14:50,Clay at Battery,41,12/13/2013 14:54,Temporary Transbay Terminal (Howard at Beale),55,397,Subscriber,94105
124658,507,12/13/2013 14:50,San Francisco Caltrain 2 (330 Townsend),69,12/13/2013 14:59,Powell Street BART,39,539,Subscriber,94107
124659,684,12/13/2013 14:52,Powell at Post (Union Square),71,12/13/2013 15:03,Yerba Buena Center of the Arts (3rd @ Howard),68,474,Customer,20008
124660,461,12/13/2013 14:54,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 15:02,San Francisco Caltrain (Townsend at 4th),70,427,Subscriber,94107
124661,238,12/13/2013 14:55,Adobe on Almaden,5,12/13/2013 14:59,San Jose Diridon Caltrain Station,2,168,Subscriber,94002
124662,404,12/13/2013 14:56,2nd at South Park,64,12/13/2013 15:03,Spear at Folsom,49,471,Subscriber,94123
124663,237,12/13/2013 14:58,Townsend at 7th,65,12/13/2013 15:02,San Francisco Caltrain (Townsend at 4th),70,587,Customer,
124665,277,12/13/2013 14:59,MLK Library,11,12/13/2013 15:04,SJSU - San Salvador at 9th,16,176,Subscriber,95112
124666,316,12/13/2013 14:59,Civic Center BART (7th at Market),72,12/13/2013 15:05,Golden Gate at Polk,59,383,Customer,
124667,378,12/13/2013 15:00,Embarcadero at Sansome,60,12/13/2013 15:06,Steuart at Market,74,361,Subscriber,94510
124668,832,12/13/2013 15:02,Commercial at Montgomery,45,12/13/2013 15:15,Embarcadero at Bryant,54,564,Subscriber,94105
124669,776,12/13/2013 15:02,San Francisco Caltrain (Townsend at 4th),70,12/13/2013 15:15,Steuart at Market,74,576,Subscriber,94112
124670,546,12/13/2013 15:02,Market at 4th,76,12/13/2013 15:11,2nd at South Park,64,582,Subscriber,94107
124675,692,12/13/2013 15:03,Market at Sansome,77,12/13/2013 15:15,San Francisco Caltrain 2 (330 Townsend),69,520,Subscriber,95014
124676,460,12/13/2013 15:04,Commercial at Montgomery,45,12/13/2013 15:11,Powell Street BART,39,486,Subscriber,94117
124677,271,12/13/2013 15:04,Spear at Folsom,49,12/13/2013 15:09,Steuart at Market,74,318,Subscriber,94115
124678,309,12/13/2013 15:05,Civic Center BART (7th at Market),72,12/13/2013 15:10,Powell Street BART,39,459,Customer,76148
124680,259,12/13/2013 15:06,Grant Avenue at Columbus Avenue,73,12/13/2013 15:11,Clay at Battery,41,620,Subscriber,94146
124682,509,12/13/2013 15:07,Mechanics Plaza (Market at Battery),75,12/13/2013 15:16,5th at Howard,57,290,Subscriber,94105
124684,512,12/13/2013 15:08,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 15:17,Market at 4th,76,600,Subscriber,94102
124690,495,12/13/2013 15:12,2nd at Townsend,61,12/13/2013 15:20,Harry Bridges Plaza (Ferry Building),50,348,Subscriber,94945
124691,445,12/13/2013 15:12,Howard at 2nd,63,12/13/2013 15:20,San Francisco Caltrain (Townsend at 4th),70,271,Subscriber,94062
124693,316,12/13/2013 15:13,Spear at Folsom,49,12/13/2013 15:18,Mechanics Plaza (Market at Battery),75,482,Subscriber,94105
124695,558,12/13/2013 15:14,San Francisco City Hall,58,12/13/2013 15:23,San Francisco Caltrain (Townsend at 4th),70,522,Subscriber,95125
124696,1017,12/13/2013 15:14,Commercial at Montgomery,45,12/13/2013 15:31,Temporary Transbay Terminal (Howard at Beale),55,463,Customer,94108
124697,860,12/13/2013 15:15,Harry Bridges Plaza (Ferry Building),50,12/13/2013 15:29,San Francisco Caltrain 2 (330 Townsend),69,573,Subscriber,94107
124698,880,12/13/2013 15:17,Commercial at Montgomery,45,12/13/2013 15:31,Temporary Transbay Terminal (Howard at Beale),55,358,Customer,94123
124699,910,12/13/2013 15:17,Clay at Battery,41,12/13/2013 15:32,San Francisco Caltrain (Townsend at 4th),70,531,Subscriber,94158
124700,841,12/13/2013 15:17,Commercial at Montgomery,45,12/13/2013 15:31,Temporary Transbay Terminal (Howard at Beale),55,607,Customer,94123
124703,197,12/13/2013 15:18,Mechanics Plaza (Market at Battery),75,12/13/2013 15:21,Steuart at Market,74,390,Subscriber,94104
124704,364,12/13/2013 15:18,Clay at Battery,41,12/13/2013 15:24,Grant Avenue at Columbus Avenue,73,479,Subscriber,94105
124706,530,12/13/2013 15:19,5th at Howard,57,12/13/2013 15:27,Market at 10th,67,536,Subscriber,94703
124707,266,12/13/2013 15:20,Townsend at 7th,65,12/13/2013 15:24,San Francisco Caltrain (Townsend at 4th),70,391,Subscriber,95120
124710,343,12/13/2013 15:21,Market at 4th,76,12/13/2013 15:27,Harry Bridges Plaza (Ferry Building),50,401,Subscriber,94558
124711,1592,12/13/2013 15:22,Clay at Battery,41,12/13/2013 15:48,Harry Bridges Plaza (Ferry Building),50,636,Subscriber,94070
124713,476,12/13/2013 15:22,Market at Sansome,77,12/13/2013 15:30,San Francisco Caltrain (Townsend at 4th),70,584,Subscriber,94010
124714,523,12/13/2013 15:22,2nd at Folsom,62,12/13/2013 15:31,Powell at Post (Union Square),71,586,Subscriber,94115
124715,353,12/13/2013 15:23,Commercial at Montgomery,45,12/13/2013 15:29,Market at Sansome,77,426,Subscriber,94111
124716,1049,12/13/2013 15:23,Townsend at 7th,65,12/13/2013 15:40,Temporary Transbay Terminal (Howard at Beale),55,617,Subscriber,94611
124717,220,12/13/2013 15:23,2nd at South Park,64,12/13/2013 15:27,San Francisco Caltrain (Townsend at 4th),70,281,Subscriber,95051
124718,591,12/13/2013 15:24,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 15:34,2nd at South Park,64,343,Customer,94707
124719,210,12/13/2013 15:24,Townsend at 7th,65,12/13/2013 15:28,San Francisco Caltrain (Townsend at 4th),70,364,Subscriber,94109
124721,433,12/13/2013 15:25,Washington at Kearney,46,12/13/2013 15:32,Post at Kearney,47,549,Subscriber,94164
124722,1618,12/13/2013 15:26,Market at 10th,67,12/13/2013 15:53,Townsend at 7th,65,276,Customer,94103
124724,482,12/13/2013 15:27,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 15:35,Spear at Folsom,49,311,Subscriber,94609
124726,587,12/13/2013 15:26,Market at 4th,76,12/13/2013 15:35,South Van Ness at Market,66,366,Subscriber,94122
124730,2464,12/13/2013 15:31,Harry Bridges Plaza (Ferry Building),50,12/13/2013 16:12,Harry Bridges Plaza (Ferry Building),50,337,Customer,33868
124731,2453,12/13/2013 15:31,Harry Bridges Plaza (Ferry Building),50,12/13/2013 16:12,Harry Bridges Plaza (Ferry Building),50,632,Customer,33868
124736,263,12/13/2013 15:36,Market at Sansome,77,12/13/2013 15:40,Commercial at Montgomery,45,426,Subscriber,94111
124738,937,12/13/2013 15:37,Embarcadero at Sansome,60,12/13/2013 15:53,San Francisco Caltrain (Townsend at 4th),70,412,Subscriber,95111
124739,474,12/13/2013 15:38,South Van Ness at Market,66,12/13/2013 15:46,Powell Street BART,39,492,Subscriber,94117
124740,602,12/13/2013 15:40,Embarcadero at Sansome,60,12/13/2013 15:50,Howard at 2nd,63,546,Subscriber,94105
124741,405,12/13/2013 15:41,Market at 4th,76,12/13/2013 15:47,2nd at Folsom,62,315,Subscriber,94115
124742,320,12/13/2013 15:41,San Francisco Caltrain (Townsend at 4th),70,12/13/2013 15:46,2nd at Townsend,61,531,Subscriber,94107
124743,542,12/13/2013 15:41,Market at Sansome,77,12/13/2013 15:50,Grant Avenue at Columbus Avenue,73,417,Subscriber,94112
124744,1111,12/13/2013 15:43,Japantown,9,12/13/2013 16:02,San Jose Diridon Caltrain Station,2,258,Subscriber,95112
124745,527,12/13/2013 15:44,Beale at Market,56,12/13/2013 15:53,Powell Street BART,39,424,Subscriber,94553
124746,401,12/13/2013 15:46,Market at Sansome,77,12/13/2013 15:52,Commercial at Montgomery,45,367,Subscriber,94109
124747,430,12/13/2013 15:47,5th at Howard,57,12/13/2013 15:54,Civic Center BART (7th at Market),72,369,Subscriber,94111
124748,644,12/13/2013 15:47,Spear at Folsom,49,12/13/2013 15:58,Post at Kearney,47,637,Subscriber,94105
124749,531,12/13/2013 15:49,Davis at Jackson,42,12/13/2013 15:57,Post at Kearney,47,353,Subscriber,94610
124750,208,12/13/2013 15:49,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 15:53,Spear at Folsom,49,617,Subscriber,94105
124751,229,12/13/2013 15:50,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 15:54,San Francisco Caltrain (Townsend at 4th),70,396,Subscriber,94025
124752,424,12/13/2013 15:50,5th at Howard,57,12/13/2013 15:57,Market at 10th,67,377,Customer,94114
124753,497,12/13/2013 15:51,Embarcadero at Bryant,54,12/13/2013 16:00,5th at Howard,57,564,Subscriber,94107
124754,282,12/13/2013 15:52,Townsend at 7th,65,12/13/2013 15:56,San Francisco Caltrain (Townsend at 4th),70,291,Subscriber,94107
124755,190,12/13/2013 15:52,Embarcadero at Folsom,51,12/13/2013 15:55,Harry Bridges Plaza (Ferry Building),50,484,Subscriber,94133
124757,342,12/13/2013 15:53,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 15:59,San Francisco Caltrain (Townsend at 4th),70,277,Subscriber,95014
124758,486,12/13/2013 15:54,Market at 10th,67,12/13/2013 16:02,San Francisco Caltrain (Townsend at 4th),70,310,Subscriber,94041
124759,285,12/13/2013 15:54,5th at Howard,57,12/13/2013 15:59,San Francisco Caltrain (Townsend at 4th),70,425,Subscriber,95032
124760,246,12/13/2013 15:55,South Van Ness at Market,66,12/13/2013 15:59,Civic Center BART (7th at Market),72,405,Subscriber,94597
124761,763,12/13/2013 15:57,Temporary Transbay Terminal (Howard at Beale),55,12/13/2013 16:10,San Francisco Caltrain (Townsend at 4th),70,431,Subscriber,94086
124762,423,12/13/2013 15:58,Powell Street BART,39,12/13/2013 16:05,Market at Sansome,77,526,Subscriber,94618
124763,1433,12/13/2013 15:57,Powell Street BART,39,12/13/2013 16:21,Washington at Kearney,46,486,Customer,14482
124764,480,12/13/2013 15:58,Townsend at 7th,65,12/13/2013 16:06,Powell Street BART,39,451,Subscriber,94117
124765,417,12/13/2013 15:54,Embarcadero at Vallejo,48,12/13/2013 16:01,Washington at Kearney,46,529,Subscriber,95110
124766,174,12/13/2013 15:59,Mountain View City Hall,27,12/13/2013 16:02,Mountain View Caltrain Station,28,244,Subscriber,94114
124767,294,12/13/2013 16:00,Yerba Buena Center of the Arts (3rd @ Howard),68,12/13/2013 16:05,San Francisco Caltrain (Townsend at 4th),70,467,Subscriber,94087
