Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
98561,898,11/16/2013 14:50,Arena Green / SAP Center,14,11/16/2013 15:05,Arena Green / SAP Center,14,142,Subscriber,95112
98562,2217,11/16/2013 14:52,Beale at Market,56,11/16/2013 15:29,South Van Ness at Market,66,480,Customer,94103
98563,1045,11/16/2013 14:52,Embarcadero at Sansome,60,11/16/2013 15:10,Spear at Folsom,49,310,Subscriber,94105
98564,2173,11/16/2013 14:52,Beale at Market,56,11/16/2013 15:29,South Van Ness at Market,66,277,Customer,92007
98565,725,11/16/2013 14:53,Embarcadero at Folsom,51,11/16/2013 15:05,Harry Bridges Plaza (Ferry Building),50,362,Customer,94089
98567,582,11/16/2013 14:55,Embarcadero at Folsom,51,11/16/2013 15:05,Harry Bridges Plaza (Ferry Building),50,515,Customer,94212
98568,717,11/16/2013 14:57,Commercial at Montgomery,45,11/16/2013 15:09,Embarcadero at Bryant,54,434,Subscriber,94105
98569,787,11/16/2013 14:58,Market at Sansome,77,11/16/2013 15:11,San Francisco Caltrain 2 (330 Townsend),69,391,Subscriber,94105
98570,728,11/16/2013 14:58,San Francisco City Hall,58,11/16/2013 15:10,Powell Street BART,39,524,Customer,94102
98571,717,11/16/2013 14:58,San Francisco City Hall,58,11/16/2013 15:10,Powell Street BART,39,613,Customer,94102
98572,409,11/16/2013 14:58,Embarcadero at Folsom,51,11/16/2013 15:05,Harry Bridges Plaza (Ferry Building),50,592,Customer,
98573,446,11/16/2013 14:58,Powell at Post (Union Square),71,11/16/2013 15:06,Grant Avenue at Columbus Avenue,73,259,Subscriber,94108
98574,896,11/16/2013 15:02,Palo Alto Caltrain Station,34,11/16/2013 15:17,Park at Olive,38,62,Subscriber,94025
98577,271,11/16/2013 15:09,Post at Kearney,47,11/16/2013 15:14,Powell Street BART,39,520,Subscriber,94127
98578,910,11/16/2013 15:09,Harry Bridges Plaza (Ferry Building),50,11/16/2013 15:25,Embarcadero at Folsom,51,309,Customer,
98579,423,11/16/2013 15:10,Embarcadero at Bryant,54,11/16/2013 15:17,2nd at South Park,64,523,Subscriber,94105
98580,385,11/16/2013 15:11,San Jose Diridon Caltrain Station,2,11/16/2013 15:18,Arena Green / SAP Center,14,59,Customer,50010
98581,1323,11/16/2013 15:12,Embarcadero at Vallejo,48,11/16/2013 15:34,South Van Ness at Market,66,452,Customer,80226
98582,1308,11/16/2013 15:12,Embarcadero at Vallejo,48,11/16/2013 15:34,South Van Ness at Market,66,350,Customer,80226
98583,733,11/16/2013 15:13,Harry Bridges Plaza (Ferry Building),50,11/16/2013 15:25,Embarcadero at Folsom,51,362,Customer,94116
98584,857,11/16/2013 15:15,2nd at Townsend,61,11/16/2013 15:29,Market at 4th,76,420,Subscriber,94107
98585,819,11/16/2013 15:15,2nd at Townsend,61,11/16/2013 15:29,Market at 4th,76,489,Subscriber,94107
98586,600,11/16/2013 15:18,Harry Bridges Plaza (Ferry Building),50,11/16/2013 15:28,Embarcadero at Folsom,51,287,Customer,94089
98587,340,11/16/2013 15:19,Harry Bridges Plaza (Ferry Building),50,11/16/2013 15:25,Embarcadero at Folsom,51,596,Customer,94212
98588,524,11/16/2013 15:20,Arena Green / SAP Center,14,11/16/2013 15:28,San Jose City Hall,10,672,Customer,50010
98589,514,11/16/2013 15:25,Post at Kearney,47,11/16/2013 15:34,Embarcadero at Sansome,60,627,Subscriber,94111
98590,113,11/16/2013 15:27,Embarcadero at Folsom,51,11/16/2013 15:29,Embarcadero at Folsom,51,362,Customer,94212
98592,769,11/16/2013 15:28,Powell Street BART,39,11/16/2013 15:41,Temporary Transbay Terminal (Howard at Beale),55,608,Customer,78100
98593,562,11/16/2013 15:29,Powell at Post (Union Square),71,11/16/2013 15:38,Grant Avenue at Columbus Avenue,73,466,Subscriber,94133
98594,1405,11/16/2013 15:30,Powell at Post (Union Square),71,11/16/2013 15:53,Davis at Jackson,42,499,Subscriber,94111
98595,516,11/16/2013 15:31,2nd at Folsom,62,11/16/2013 15:39,Embarcadero at Bryant,54,376,Subscriber,94105
98596,1000,11/16/2013 15:32,Civic Center BART (7th at Market),72,11/16/2013 15:49,Embarcadero at Sansome,60,30,Subscriber,94102
98598,1392,11/16/2013 15:34,Grant Avenue at Columbus Avenue,73,11/16/2013 15:57,5th at Howard,57,259,Customer,94134
98599,1376,11/16/2013 15:34,Grant Avenue at Columbus Avenue,73,11/16/2013 15:57,5th at Howard,57,587,Customer,94109
