Trip ID,Duration,Start Date,Start Station,Start Terminal,End Date,End Station,End Terminal,Bike #,Subscription Type,Zip Code
135852,1031,12/26/2013 10:29,Harry Bridges Plaza (Ferry Building),50,12/26/2013 10:46,Yerba Buena Center of the Arts (3rd @ Howard),68,349,Customer,
135853,934,12/26/2013 10:31,Harry Bridges Plaza (Ferry Building),50,12/26/2013 10:46,Yerba Buena Center of the Arts (3rd @ Howard),68,546,Customer,94134
135854,545,12/26/2013 10:33,San Francisco Caltrain (Townsend at 4th),70,12/26/2013 10:43,Spear at Folsom,49,592,Subscriber,94105
135856,1112,12/26/2013 10:36,Townsend at 7th,65,12/26/2013 10:54,Spear at Folsom,49,279,Subscriber,95370
135860,1010,12/26/2013 10:42,Yerba Buena Center of the Arts (3rd @ Howard),68,12/26/2013 10:59,Yerba Buena Center of the Arts (3rd @ Howard),68,540,Customer,60625
135861,799,12/26/2013 10:42,Beale at Market,56,12/26/2013 10:56,Townsend at 7th,65,260,Subscriber,94103
135862,316,12/26/2013 10:43,Embarcadero at Bryant,54,12/26/2013 10:48,Steuart at Market,74,505,Subscriber,94115
135863,500,12/26/2013 10:45,San Salvador at 1st,8,12/26/2013 10:53,San Jose Civic Center,3,164,Subscriber,95112
135864,514,12/26/2013 10:47,Spear at Folsom,49,12/26/2013 10:56,San Francisco Caltrain (Townsend at 4th),70,592,Subscriber,94105
135865,318,12/26/2013 10:49,San Francisco Caltrain (Townsend at 4th),70,12/26/2013 10:54,Townsend at 7th,65,620,Subscriber,94111
135867,281,12/26/2013 10:54,2nd at South Park,64,12/26/2013 10:58,Market at Sansome,77,590,Subscriber,94107
135869,592,12/26/2013 10:54,Embarcadero at Sansome,60,12/26/2013 11:04,Spear at Folsom,49,267,Subscriber,94115
135872,151,12/26/2013 10:57,San Jose Civic Center,3,12/26/2013 10:59,Santa Clara at Almaden,4,164,Subscriber,95112
135873,556,12/26/2013 10:58,Civic Center BART (7th at Market),72,12/26/2013 11:07,2nd at Folsom,62,585,Subscriber,94102
135874,712,12/26/2013 11:01,Townsend at 7th,65,12/26/2013 11:12,2nd at Townsend,61,620,Subscriber,94107
135875,649,12/26/2013 11:05,Yerba Buena Center of the Arts (3rd @ Howard),68,12/26/2013 11:15,Harry Bridges Plaza (Ferry Building),50,535,Customer,2068
135876,686,12/26/2013 11:04,Yerba Buena Center of the Arts (3rd @ Howard),68,12/26/2013 11:16,Harry Bridges Plaza (Ferry Building),50,546,Customer,2068
135877,12030,12/26/2013 11:05,Embarcadero at Sansome,60,12/26/2013 14:26,Embarcadero at Sansome,60,338,Customer,
135878,182,12/26/2013 11:09,San Francisco Caltrain 2 (330 Townsend),69,12/26/2013 11:13,Townsend at 7th,65,575,Subscriber,94121
135879,3468,12/26/2013 11:12,Palo Alto Caltrain Station,34,12/26/2013 12:10,Mountain View Caltrain Station,28,217,Subscriber,94301
135880,274,12/26/2013 11:14,Harry Bridges Plaza (Ferry Building),50,12/26/2013 11:18,Commercial at Montgomery,45,413,Subscriber,94123
135881,534,12/26/2013 11:16,Grant Avenue at Columbus Avenue,73,12/26/2013 11:25,Harry Bridges Plaza (Ferry Building),50,492,Subscriber,94133
135882,672,12/26/2013 11:17,South Van Ness at Market,66,12/26/2013 11:28,South Van Ness at Market,66,560,Subscriber,94102
135883,265,12/26/2013 11:20,Temporary Transbay Terminal (Howard at Beale),55,12/26/2013 11:25,Davis at Jackson,42,334,Subscriber,94111
135884,586,12/26/2013 11:23,Harry Bridges Plaza (Ferry Building),50,12/26/2013 11:33,Spear at Folsom,49,535,Subscriber,94552
135885,726,12/26/2013 11:27,Harry Bridges Plaza (Ferry Building),50,12/26/2013 11:39,Embarcadero at Sansome,60,546,Customer,2068
135886,675,12/26/2013 11:27,Harry Bridges Plaza (Ferry Building),50,12/26/2013 11:38,Embarcadero at Sansome,60,492,Customer,2068
135887,285,12/26/2013 11:31,Cowper at University,37,12/26/2013 11:36,Palo Alto Caltrain Station,34,668,Subscriber,94107
135888,218,12/26/2013 11:33,Townsend at 7th,65,12/26/2013 11:37,San Francisco Caltrain (Townsend at 4th),70,575,Subscriber,94121
135889,194,12/26/2013 11:35,Mechanics Plaza (Market at Battery),75,12/26/2013 11:39,Davis at Jackson,42,461,Subscriber,94602
135890,152,12/26/2013 11:40,Temporary Transbay Terminal (Howard at Beale),55,12/26/2013 11:42,Howard at 2nd,63,435,Subscriber,94105
135891,648,12/26/2013 11:42,San Jose Diridon Caltrain Station,2,12/26/2013 11:52,San Jose Civic Center,3,200,Subscriber,95138
135892,218,12/26/2013 11:43,San Francisco Caltrain (Townsend at 4th),70,12/26/2013 11:46,Townsend at 7th,65,355,Subscriber,94070
135893,1088,12/26/2013 11:50,Palo Alto Caltrain Station,34,12/26/2013 12:08,Palo Alto Caltrain Station,34,124,Subscriber,94117
135894,366,12/26/2013 11:52,5th at Howard,57,12/26/2013 11:58,San Francisco Caltrain 2 (330 Townsend),69,482,Subscriber,94158
135899,337,12/26/2013 11:56,Embarcadero at Vallejo,48,12/26/2013 12:02,Washington at Kearney,46,320,Subscriber,95110
135901,820,12/26/2013 11:57,South Van Ness at Market,66,12/26/2013 12:11,Market at Sansome,77,291,Subscriber,94618
135902,999,12/26/2013 11:58,Civic Center BART (7th at Market),72,12/26/2013 12:15,Steuart at Market,74,550,Customer,13502
135903,1043,12/26/2013 11:59,Civic Center BART (7th at Market),72,12/26/2013 12:16,Steuart at Market,74,392,Customer,
135904,205,12/26/2013 12:01,Townsend at 7th,65,12/26/2013 12:04,San Francisco Caltrain (Townsend at 4th),70,260,Subscriber,94107
135905,839,12/26/2013 12:01,Civic Center BART (7th at Market),72,12/26/2013 12:15,Steuart at Market,74,527,Customer,
135906,471,12/26/2013 12:03,Commercial at Montgomery,45,12/26/2013 12:11,Grant Avenue at Columbus Avenue,73,570,Subscriber,94123
135907,483,12/26/2013 12:04,2nd at Folsom,62,12/26/2013 12:12,Townsend at 7th,65,352,Subscriber,94107
135908,1196,12/26/2013 12:05,Townsend at 7th,65,12/26/2013 12:25,Harry Bridges Plaza (Ferry Building),50,355,Subscriber,94107
135909,545,12/26/2013 12:07,San Francisco Caltrain 2 (330 Townsend),69,12/26/2013 12:16,Powell Street BART,39,482,Subscriber,94109
135910,405,12/26/2013 12:08,Embarcadero at Sansome,60,12/26/2013 12:15,Commercial at Montgomery,45,632,Subscriber,94111
135911,639,12/26/2013 12:08,Commercial at Montgomery,45,12/26/2013 12:19,Temporary Transbay Terminal (Howard at Beale),55,413,Subscriber,94123
135916,234,12/26/2013 12:11,Market at Sansome,77,12/26/2013 12:15,Davis at Jackson,42,469,Subscriber,94306
135927,240,12/26/2013 12:17,Howard at 2nd,63,12/26/2013 12:21,2nd at Townsend,61,619,Subscriber,94107
135928,411,12/26/2013 12:18,South Van Ness at Market,66,12/26/2013 12:24,Powell Street BART,39,354,Subscriber,94803
